429,561,-861,-1684
430,572,-802,-1688
431,780,-721,-1692
432,944,-636,-1697
433,988,-569,-1702
434,1015,-527,-1707
435,1021,-504,-1713
436,1015,-493,-1718
437,977,-489,-1721
438,868,-488,-1722
439,703,-490,-1721
440,517,-493,-1720
441,341,-500,-1719
442,215,-509,-1718
443,83,-521,-1717
444,39,-537,-1715
445,-47,-558,-1712
446,-97,-582,-1708
447,-86,-608,-1703
448,-53,-636,-1698
449,-75,-665,-1694
450,-91,-695,-1690
451,-75,-726,-1686
452,-58,-757,-1682
453,-47,-786,-1677
454,-47,-811,-1672
455,-25,-833,-1666
456,-64,-847,-1659
457,-135,-854,-1651
458,-201,-855,-1641
459,12,-852,-1630
460,100,-849,-1618
461,72,-847,-1606
462,1,-847,-1593
463,7,-848,-1579
464,39,-849,-1564
465,-108,-850,-1548
466,-766,-851,-1531
467,-32768,-852,-1513
468,-32768,-854,-1494
469,-32768,-857,-1474
470,-32768,-861,-1453
471,-1566,-866,-1432
472,-749,-872,-1410
473,-344,-878,-1387
474,-58,-883,-1363
475,138,-888,-1337
476,308,-892,-1310
477,412,-897,-1282
478,462,-901,-1252
479,495,-907,-1221
480,533,-912,-1189
481,539,-918,-1156
482,583,-925,-1122
483,539,-931,-1087
484,572,-937,-1051
485,594,-943,-1015
486,594,-949,-978
487,594,-954,-941
488,653,-957,-904
489,632,-955,-867
490,631,-943,-829
491,588,-914,-791
492,840,-859,-753
493,1109,-785,-717
494,1153,-707,-681
495,1164,-642,-646
496,1191,-597,-610
497,1191,-569,-569
498,1186,-554,-525
499,1103,-546,-478
500,955,-544,-430
501,785,-547,-383
502,599,-551,-337
503,396,-558,-292
504,292,-567,-249
505,243,-579,-209
506,199,-596,-172
507,188,-615,-137
508,133,-637,-106
509,100,-661,-79
510,56,-688,-56
511,28,-715,-36
512,34,-743,-20
513,56,-772,-8
514,72,-800,-1
515,67,-825,2
516,50,-847,0
517,50,-863,-8
518,39,-870,-22
519,45,-870,-40
520,50,-864,-64
521,17,-855,-94
522,34,-847,-129
523,39,-840,-169
524,39,-835,-210
525,56,-832,-249
526,34,-829,-285
527,-338,-825,-320
528,-1215,-822,-355
529,-32768,-821,-392
530,-32768,-820,-431
531,-32768,-821,-471
532,-32768,-822,-510
533,-1106,-823,-545
534,-541,-825,-577
535,-223,-826,-607
536,105,-828,-634
537,363,-830,-659
538,528,-832,-682
539,583,-835,-704
540,610,-838,-724
541,610,-843,-741
542,610,-848,-756
543,605,-854,-769
544,605,-861,-781
545,621,-869,-793
546,637,-876,-805
547,637,-883,-817
548,653,-887,-828
549,664,-891,-838
550,681,-892,-846
551,708,-885,-853
552,752,-863,-861
553,802,-818,-870
554,868,-750,-881
555,900,-672,-893
556,1037,-602,-905
557,1147,-551,-915
558,1153,-519,-924
559,1098,-501,-932
560,1026,-492,-939
561,977,-487,-945
562,807,-486,-951
563,610,-488,-956
564,423,-492,-963
565,297,-498,-974
566,193,-508,-989
567,111,-522,-1007
568,29,-540,-1027
569,-3,-561,-1047
570,-20,-585,-1068
571,-31,-611,-1090
572,-80,-640,-1113
573,-91,-668,-1136
574,-91,-697,-1159
575,-58,-726,-1182
